title,link,price
Sega Genesis Mini - Genesis,/Sega-Genesis-Mini/dp/B07PFT19MG/ref=sr_1_1?dchild=1&keywords=sega&qid=1617959392&sr=8-1,
"SEGA Demon Slayer: Kimetsu no Yaiba SPM Figure Nezuko Kamado, Multiple Colors (SG94459)",/SEGA-Demon-Slayer-Kimetsu-Multiple/dp/B08BNQ3YW9/ref=sr_1_2?dchild=1&keywords=sega&qid=1617959392&sr=8-2,
Hyperkin Megaretron HD Gaming Console for Genesis/Mega Drive - Sega Genesis,/Hyperkin-MegaRetroN-Gaming-Console-Genesis-Sega/dp/B07JC66GKX/ref=sr_1_3?dchild=1&keywords=sega&qid=1617959392&sr=8-3,
Sega Genesis Classics - Nintendo Switch,/Sega-Genesis-Classics-Nintendo-Switch/dp/B07H7Z8MH3/ref=sr_1_4?dchild=1&keywords=sega&qid=1617959392&sr=8-4,
Sega KonoSuba: God's Blessing on This Wonderful World! The Movie: Legend of Crimson: Megumin Limited Premium Figure (Dancer Version),/Sega-KonoSuba-Blessing-Wonderful-Crimson/dp/B08CHKN7GX/ref=sr_1_5?dchild=1&keywords=sega&qid=1617959392&sr=8-5,
Sega Genesis 1 (Original Model) Console System (Renewed),/Sega-Genesis-Original-Console-System-Renewed/dp/B07KPMK6J5/ref=sr_1_6?dchild=1&keywords=sega&qid=1617959392&sr=8-6,
Sega Cells at Work!: White Blood Cell (Neutrophil) Premium Figure,/Sega-Cells-Work-Neutrophil-Premium/dp/B08B42HWWY/ref=sr_1_7?dchild=1&keywords=sega&qid=1617959392&sr=8-7,
Old Skool Sega Genesis Ac adapter for Genesis 2 and 3 or Game Gear,/Skool-Sega-Genesis-adapter-Game-Gear/dp/B075WLXG7L/ref=sr_1_8?dchild=1&keywords=sega&qid=1617959392&sr=8-8,
"SEGA Demon Slayer: Kimetsu no Yaiba SPM Figure Hashibira Inosuke, Multiple Colors",/SEGA-Demon-Slayer-Hashibira-Multiple/dp/B084R898XY/ref=sr_1_9?dchild=1&keywords=sega&qid=1617959392&sr=8-9,
Sega Genesis Core System 2 - Video Game Console (Renewed),/Sega-Genesis-Core-System-Console-Renewed/dp/B07KPQB8YX/ref=sr_1_10?dchild=1&keywords=sega&qid=1617959392&sr=8-10,
"SEGA Demon Slayer: Kimetsu no Yaiba SPM Figure Agatsuma Zenitsu, Multiple Colors (SG31452)",/SEGA-Demon-Slayer-Agatsuma-Multiple/dp/B084R5RKMG/ref=sr_1_11?dchild=1&keywords=sega&qid=1617959392&sr=8-11,
"Sega Project Hatsune Miku Series Super Premium Action Figure Ribbon Heart, 8.6""",/Project-Hatsune-Premium-Action-Figure/dp/B08331W8BQ/ref=sr_1_12?dchild=1&keywords=sega&qid=1617959392&sr=8-12,52
SEGA Mega Drive Classics (PS4),/SEGA-Mega-Drive-Classics-playstation-4/dp/B07BPLPCYQ/ref=sr_1_13?dchild=1&keywords=sega&qid=1617959392&sr=8-13,29
The Sega Mega Drive & Genesis Encyclopedia: Every Game Released for Sega's 16-bit Console,/Sega-Mega-Drive-Genesis-Encyclopedia/dp/152674659X/ref=sr_1_14?dchild=1&keywords=sega&qid=1617959392&sr=8-14,32
Sega Dreamcast Console (Renewed),/Sega-Dreamcast-Console-Renewed/dp/B07KPN1SM7/ref=sr_1_15?dchild=1&keywords=sega&qid=1617959392&sr=8-15,182
Sega Evangelion 3.0: Asuka Langley Shikinami Premium Figure (Version 1.5),/Sega-Evangelion-3-0-Langley-Shikinami/dp/B083RCHZRP/ref=sr_1_16?dchild=1&keywords=sega&qid=1617959392&sr=8-16,
